source_center,destination_center,time_bucket,avg_distance_km,avg_osrm_time,hub_congestion,congestion_tier,distance_tier,is_chronic_bottleneck,total_volume,delay_ratio_ftl,delay_risk_tier_ftl,delay_ratio_carting,delay_risk_tier_carting,ftl_distance_cost,carting_distance_cost,ftl_actual_time,carting_actual_time,ftl_delay_cost,carting_delay_cost,ftl_total_cost,carting_total_cost,time_diff_hr,cost_diff,recommended_route_type,rule_applied
IND452001AAC,IND425508AAB,night,36.665333333333336,32.25,258.0,Medium,Medium,0,12,1.8518518518518519,Medium,1.8598104793756969,High,4526.629333333333,1649.94,59.72222222222222,59.97888795986623,0.11446759259259258,0.11553703316610928,4526.743800925926,1650.0555370331663,7.129603823444618e-05,-2876.6882638927596,Carting,Rule 6: Lower total cost (Carting)
IND454001AAA,IND457001AAA,eve_peak,60.55145294117648,63.044117647058826,204.0,Low,Long,0,68,1.08,Medium,2.037037037037037,Medium,5195.440682352942,2724.8153823529415,68.08764705882353,128.4232026143791,0.021014705882352956,0.2724128540305012,5195.461697058824,2725.087795206972,0.01675987654320988,-2470.373901851852,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND457001AAA,IND382430AAB,eve_peak,185.60271944444446,134.11111111111111,3832.0,High,Long,0,36,1.9875531201073584,High,2.037037037037037,Medium,8696.876144444444,8352.122375,266.55295732995353,273.18930041152265,0.5518410259118434,0.5794924554183813,8697.427985470356,8352.701867455418,0.0018434286337692008,-344.72611801493804,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND457001AAA,IND457226AAA,eve_peak,32.7616375,33.9375,376.0,Medium,Medium,0,32,1.0645270270270268,Medium,2.037037037037037,Medium,4417.32585,1474.2736875,36.12738597972972,69.13194444444446,0.009124524915540515,0.14664351851851856,4417.334974524916,1474.4203310185185,0.009167932906865205,-2942.9146435063976,Carting,Rule 6: Lower total cost (Carting)
IND457226AAA,IND382430AAB,eve_peak,203.1166033653846,148.71153846153845,3936.0,High,Long,0,208,1.780484697488746,High,2.037037037037037,Medium,9187.264894230768,9140.247151442307,264.7786185707783,302.93091168091166,0.4836128337884993,0.6425807217473883,9187.748507064556,9140.889732164054,0.010597859197259269,-46.858774900501885,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND458001AAB,IND458990AAA,night,27.386081818181818,24.863636363636363,98.0,Low,Short,0,22,1.3452380952380953,High,2.037037037037037,Medium,4266.810290909091,1232.373681818182,33.44751082251082,50.64814814814815,0.03576614357864358,0.10743546576879913,4266.8460570526695,1232.4811172839507,0.004777954812677036,-3034.3649397687186,Carting,Rule 3: Short-haul + low congestion — no FTL advantage
IND458664AAA,IND312403AAA,night,41.516957142857144,35.785714285714285,67.0,Low,Medium,0,14,2.246153846153846,High,2.037037037037037,Medium,4662.4748,1868.2630714285715,80.38021978021978,72.8968253968254,0.18581043956043952,0.15462962962962967,4662.6606104395605,1868.4177010582011,-0.0020787206620539915,-2794.2429093813594,Carting,Rule 6: Lower total cost (Carting)
IND458990AAA,IND312605AAB,night,45.70363666666667,41.86666666666667,162.0,Low,Medium,0,30,1.9893939393939393,High,2.037037037037037,Medium,4779.701826666666,2056.66365,83.28929292929293,85.28395061728396,0.17259427609427608,0.18090534979423875,4779.8744209427605,2056.844555349794,0.0005540715799975101,-2723.0298655929664,Carting,Rule 6: Lower total cost (Carting)
IND460001AAA,IND480334AAA,morn_peak,70.50370416666667,52.25,290.0,Medium,Long,0,24,2.034478021978022,High,2.037037037037037,Medium,5474.1037166666665,3172.6666875,106.30147664835165,106.43518518518519,0.22521448603479854,0.22577160493827164,5474.328931152701,3172.8924591049386,3.714126023153833e-05,-2301.436472047763,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
IND460001AAA,IND480334AAA,night,63.137725,47.03333333333333,290.0,Medium,Long,0,60,1.932142857142857,High,2.037037037037037,Medium,5267.8563,2841.1976250000002,90.87511904761904,95.80864197530865,0.18267410714285712,0.20323045267489714,5268.038974107143,2841.400855452675,0.0013704230354693358,-2426.638118654468,FTL,Rule 2: Long-haul — fixed cost amortizes over distance
