source_center,destination_center,trip_count,weight,pct_sla_breach,median_actual_time,median_osrm_time,delay_iqr,avg_distance,is_chronic,delay_severity_norm,volume_norm,sla_breach_corr_norm,variability_norm,corridor_risk_score
IND121102AAA,IND121004AAB,52,3.9155172413793102,1.0,92.0,21.0,1.9114142562418421,28.254815384615384,1,0.5359968573658652,0.008457511075312122,1.0,0.3375454019639504,0.5002676609115692
IND851127AAA,IND842001AAA,80,3.9375,1.0,194.5,59.0,1.641471187331625,75.3161025,1,0.5393484138057757,0.014095851792186871,1.0,0.2898749184959476,0.49825082031995177
IND562132AAA,IND000000ACB,3316,1.7345395751989159,0.9906513872135102,1529.0,855.5,0.1522084986994241,1143.918080880579,1,0.20347854751606767,0.6657269432138542,0.9906513872135102,0.026879196232868323,0.498173921236555
IND421302AAR,IND421301AAA,34,4.144444444444444,1.0,38.5,9.0,0.9805555555555552,12.358011764705882,1,0.5708997762825797,0.004832863471606927,1.0,0.1731607986427548,0.49688420624520907
IND712311AAA,IND712410AAC,17,3.8421052631578947,0.9411764705882353,146.0,38.0,2.6858974358974357,41.38505294117647,1,0.5248042498947091,0.001409585179218687,0.9411764705882353,0.4743149354847306,0.4929997074482202
IND641062AAD,IND641001AAA,12,3.911111111111111,1.0,84.0,25.5,1.541816009557945,26.072824999999998,1,0.5353250857047067,0.0004027386226339106,1.0,0.2722763540144082,0.491458354338982
IND421301AAA,IND421302AAR,29,3.7777777777777777,1.0,36.0,10.0,1.8999999999999995,12.293975862068965,1,0.5149966910887792,0.0038260169150221507,1.0,0.33552970615196687,0.4905081512794639
IND331304AAA,IND332001AAB,14,3.773955147808359,1.0,218.5,81.0,1.929300920598389,94.71007142857142,1,0.5144138816101116,0.0008054772452678212,1.0,0.34070408998268253,0.49003733095362983
IND600044AAD,IND600048AAA,23,4.0,0.9565217391304348,40.0,11.0,1.6261363636363644,11.989878260869565,1,0.5488773487819917,0.002617801047120419,0.9565217391304348,0.28716687171259864,0.4880525117284453
IND477001AAB,IND474003AAA,29,3.6,1.0,170.0,53.0,2.2883116883116887,61.37678965517241,1,0.48789216493420917,0.0038260169150221507,1.0,0.404103446507017,0.48652371485314094
IND221313AAA,IND211002AAB,36,3.9362461419753085,1.0,233.0,58.5,1.095349979321754,84.1262611111111,1,0.5391572469003886,0.005235602094240838,1.0,0.19343287194494274,0.4863150864782099
IND585307AAB,IND585104AAA,107,3.440677966101695,1.0,135.0,42.0,2.5932471560143897,44.18034392523364,1,0.46360145611348225,0.019532823197744662,1.0,0.457953398019438,0.48611912804677293
IND152026AAA,IND160002AAC,10,3.614624183006536,1.0,322.5,94.5,2.1681657488427435,136.03533,1,0.4901218111574022,0.0,1.0,0.3828863245252448,0.4843373569154854
IND712311AAA,IND700088AAA,83,3.5357142857142856,1.0,92.0,28.0,1.9778195488721808,25.029922891566265,1,0.4780909746729584,0.014699959726137737,1.0,0.34927221687089405,0.4798386014878072
IND401209AAA,IND401104AAA,58,2.804029304029304,1.0,36.5,16.0,4.557017543859649,21.350241379310347,1,0.3665361168561584,0.009665726943213854,1.0,0.8047446091687296,0.47950533939513973
IND535001AAA,IND530012AAA,60,3.460606060606061,1.0,126.0,38.0,2.191641679160419,46.04839833333333,1,0.4666397523811941,0.010068465565847765,1.0,0.3870320466311047,0.47787622200705004
IND462001AAA,IND462022AAA,56,3.547008547008547,1.0,42.5,12.0,1.8733974358974361,12.7452125,1,0.47981293117659696,0.009262988320579944,1.0,0.33083183745921846,0.4773241032967056
IND121004AAC,IND121004AAB,12,2.708333333333333,1.0,32.5,11.0,4.791648076923075,13.404708333333334,1,0.3519460259401939,0.0004027386226339106,1.0,0.8461790901229669,0.4754970040440328
IND562114AAA,IND560067AAC,11,3.4444444444444446,1.0,33.0,10.0,2.1722222222222225,11.47180909090909,1,0.46417570454896045,0.0002013693113169553,1.0,0.3836026757468395,0.4740808917220974
IND401104AAA,IND400072AAB,59,2.875,1.0,43.0,15.0,4.0,16.725308474576273,1,0.3773565192101034,0.00986709625453081,1.0,0.706378328740983,0.47404721462177235
IND713205AAB,IND722143AAB,10,3.58,1.0,89.5,25.0,1.684802371541502,32.30004,1,0.48484290574182004,0.0,1.0,0.29752697086708274,0.47368985938343633
IND742121AAA,IND742101AAC,11,3.6923076923076925,1.0,59.0,16.0,1.2750686813186811,20.029127272727273,1,0.5019656688990821,0.0002013693113169553,1.0,0.22517022103496478,0.4733536319909586
IND743347AAA,IND700053AAA,49,3.7777777777777777,1.0,156.0,45.0,0.8603988603988606,51.39745102040816,1,0.5149966910887792,0.007853403141361256,1.0,0.15194177726479838,0.47315620494733185
IND742148AAA,IND742225AAA,48,3.5357142857142856,1.0,42.5,13.0,1.6813301282051283,16.666872916666666,1,0.4780909746729584,0.0076520338300443014,1.0,0.29691379150585034,0.4728407774772795
IND842001AAA,IND843109AAB,30,3.585714285714286,1.0,30.5,9.0,1.5428571428571431,13.267613333333333,1,0.48571412265393127,0.004027386226339106,1.0,0.27246021251437924,0.47253851686959525
IND533106AAA,IND533308AAB,17,3.607142857142857,1.0,101.0,28.0,1.488888888888889,34.07609411764706,1,0.48898118607434815,0.001409585179218687,1.0,0.26292971125358816,0.47223784184990275
IND852111AAA,IND854326AAB,84,3.567418822234452,1.0,225.0,68.0,1.4297995780590722,81.93591428571429,1,0.4829247421441861,0.014901329037454692,1.0,0.25249485909598257,0.4721447150266364
