source_center,destination_center,trip_count,median_actual_time,median_osrm_time,weight,delay_ratio_iqr,pct_sla_breach,avg_osrm_distance,pct_ftl,delay_Carting_afternoon,delay_Carting_eve_peak,delay_Carting_morn_peak,delay_Carting_night,delay_FTL_afternoon,delay_FTL_eve_peak,delay_FTL_morn_peak,delay_FTL_night,is_chronic_delay
IND641062AAD,IND641607AAA,22,47.5,27.0,1.712820512820513,0.3601282051282051,1.0,30.253622727272727,1.0,,,,,1.7333333333333334,1.6666666666666667,,,1
IND641062AAD,IND642126AAA,118,50.5,38.0,1.324653312788906,0.20520050125313305,0.7796610169491526,42.65614406779661,0.0,,1.324653312788906,,,,,,,1
IND641062AAD,IND643217AAA,12,147.0,51.5,2.731283422459893,0.31744387078438807,1.0,49.15768333333333,0.0,,2.731283422459893,,,,,,,1
IND641062AAD,IND643231AAA,85,114.0,43.0,2.8461538461538463,0.8106060606060606,1.0,49.93833411764705,0.0,,2.8461538461538463,,,,,,,1
IND641607AAA,IND641062AAD,38,51.5,27.0,1.8448275862068966,1.326434133163833,1.0,30.52295789473684,1.0,,,,,,1.8275862068965518,1.9310344827586206,1.8214285714285714,1
IND641607AAA,IND641654AAA,22,26.0,13.0,1.875,0.39761029411764715,1.0,14.418713636363636,0.0,,1.875,,,,,,,1
IND641607AAA,IND641664AAA,10,35.5,19.5,1.818421052631579,0.4166666666666665,1.0,17.22705,0.0,,1.818421052631579,,,,,,,1
IND641654AAA,IND641664AAA,33,30.0,25.0,1.3846153846153846,0.37777777777777777,0.7575757575757576,22.703869696969697,0.0,,1.3846153846153846,,,,,,,1
IND641664AAA,IND638657AAA,74,38.5,28.0,1.418859649122807,0.23212954333643987,0.972972972972973,28.661786486486488,0.0,,1.418859649122807,,,,,,,1
IND642001AAA,IND641062AAD,102,53.5,39.0,1.3675324675324676,0.37965917499075097,0.7843137254901961,36.96921764705883,0.0,,1.3675324675324676,,,,,,,1
IND642126AAA,IND642001AAA,65,27.0,21.0,1.3,0.1918103448275863,0.7230769230769231,22.383578461538463,0.0,,1.3,,,,,,,1
IND643001AAA,IND643212AAA,18,67.5,28.0,2.45628078817734,0.19431605975723576,1.0,37.238927777777775,0.0,,2.45628078817734,,,,,,,1
IND643212AAA,IND641062AAD,21,197.0,63.0,3.284090909090909,0.8310810810810811,0.9523809523809523,72.84547142857143,0.0,,3.284090909090909,,,,,,,1
IND643217AAA,IND643001AAA,20,38.0,29.0,1.6116071428571428,1.1698079231692677,0.55,28.774,0.0,,1.6116071428571428,,,,,,,1
IND643231AAA,IND643217AAA,18,35.5,34.0,1.0880541871921183,0.35439727615184013,0.3888888888888889,22.62481111111111,0.0,,1.0880541871921183,,,,,,,0
IND670643AAA,IND673632AAA,45,87.0,51.0,1.7,0.27812745869394173,0.9777777777777777,54.60748,0.0,,1.7,,,,,,,1
IND670645AAB,IND673592AAA,21,76.0,35.0,2.2972972972972974,0.7318681318681319,1.0,29.26582857142857,0.0,,,,2.2972972972972974,,,,,1
IND673104AAA,IND673506AAA,34,23.5,14.0,1.6363636363636365,0.6110681114551082,0.9705882352941176,13.284085294117647,0.0,,1.6363636363636365,,,,,,,1
IND673121AAA,IND670645AAB,24,59.0,25.0,2.3076923076923075,0.4054979395604392,1.0,23.534420833333332,0.0,,,,2.3076923076923075,,,,,1
IND673305AAA,IND673104AAA,40,25.0,21.0,1.266798418972332,0.2659090909090909,0.65,17.1931225,0.0,,1.266798418972332,,,,,,,1
IND673506AAA,IND670643AAA,34,25.5,16.5,1.4479166666666665,0.211503623188406,1.0,17.460949999999997,0.0,,1.4479166666666665,,,,,,,1
IND673573AAA,IND673592AAA,24,70.0,43.5,1.670508474576271,0.17759305210918108,1.0,44.68373333333333,1.0,,,,,,1.670508474576271,,,1
IND673592AAA,IND562132AAA,119,243.0,137.0,1.7567567567567568,0.5578805260819248,0.9663865546218487,167.2788638655462,1.0,,,,,,1.7567567567567568,,,1
IND673592AAA,IND673121AAA,22,26.0,12.0,2.0,0.6383689839572191,1.0,14.90935,0.0,,,,2.0,,,,,1
IND673632AAA,IND673305AAA,14,32.5,31.0,1.1145161290322583,0.18585276512105775,0.07142857142857142,26.936442857142858,0.0,,1.1145161290322583,,,,,,,0
IND673632AAA,IND683511AAA,36,161.5,100.0,1.6505028735632183,0.1334700162316118,1.0,99.59610555555555,1.0,,,,,,1.6505028735632183,,,1
IND676306AAA,IND676509AAA,14,23.0,15.0,1.380952380952381,0.5053571428571428,0.7857142857142857,16.78907142857143,0.0,,1.380952380952381,,,,,,,1
IND678683AAA,IND000000ABD,26,33.0,31.5,1.1029411764705883,0.22222222222222232,0.34615384615384615,29.18706923076923,1.0,,,,,1.0633484162895928,1.175925925925926,,,0
IND679303AAA,IND679531AAA,28,35.5,15.0,2.591666666666667,0.7374999999999994,1.0,14.933942857142856,0.0,2.239583333333333,2.675,,,,,,,1
IND679531AAA,IND680587AAA,30,20.5,15.0,1.5,0.29000000000000004,0.9666666666666667,15.383886666666665,0.0,1.5105263157894737,1.5,,,,,,,1
